amfi_code,scheme_name,max_drawdown,start_date,end_date,recovery_date,duration_days
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.5257422117012851,2023-01-17,2025-10-28,Not Recovered,1228
119095,Axis Small Cap Fund - Regular - Growth,-0.5167775370852656,2025-05-22,2026-05-11,Not Recovered,372
101207,ABSL Small Cap Fund - Regular - Growth,-0.3544691649336603,2024-11-21,2026-05-11,Not Recovered,554
149324,DSP Small Cap Fund - Regular - Growth,-0.31171900300634214,2024-05-03,2025-01-03,2025-06-13,406
119598,SBI Small Cap Fund - Regular Plan - Growth,-0.2870600572176455,2024-08-28,2025-05-14,2025-09-29,397
102886,UTI Mid Cap Fund - Regular - Growth,-0.2800112356639287,2025-01-07,2026-04-27,Not Recovered,507
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.24734440880673303,2022-03-30,2022-09-15,2023-03-14,349
120842,Kotak Emerging Equity Fund - Regular - Growth,-0.24003511326274884,2023-11-09,2024-10-17,2025-10-14,705
118634,Nippon India Small Cap Fund - Regular - Growth,-0.2334488614483311,2025-04-09,2026-02-20,2026-04-15,371
119093,Axis Bluechip Fund - Direct - Growth,-0.21751396370148224,2022-02-24,2023-05-22,2023-12-26,670
102887,UTI Flexi Cap Fund - Regular - Growth,-0.21285398874796857,2022-01-06,2022-07-04,2023-03-13,431
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,-0.21117279560132118,2025-04-04,2025-09-12,2026-02-18,320
119094,Axis Midcap Fund - Regular - Growth,-0.20960883862039192,2022-04-14,2022-08-11,2023-01-17,278
120506,ICICI Pru Value Discovery Fund - Regular - Growth,-0.1982565826298267,2023-03-31,2023-08-14,2024-01-11,286
118633,Nippon India Large Cap Fund - Direct - Growth,-0.18629743138595511,2023-10-30,2024-02-29,2024-07-26,270
120505,ICICI Pru Midcap Fund - Regular - Growth,-0.18188513572116294,2024-10-24,2025-01-23,2025-03-07,134
120841,Kotak Bluechip Fund - Regular - Growth,-0.1757361416468729,2024-01-09,2025-02-14,2025-12-04,695
118632,Nippon India Large Cap Fund - Regular - Growth,-0.17414075086657232,2024-01-02,2024-07-19,2025-05-21,505
149323,DSP Midcap Fund - Regular - Growth,-0.17248105753451382,2022-06-06,2022-10-24,2022-12-20,197
148569,Mirae Asset Tax Saver Fund - Regular - Growth,-0.1639674294693263,2023-08-10,2023-10-20,2024-04-10,244
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,-0.16217208574644848,2022-03-11,2022-05-12,2022-07-27,138
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.1527259422823477,2023-09-05,2024-01-24,2024-04-25,233
125497,HDFC Top 100 Fund - Direct Plan - Growth,-0.15200013055606398,2023-12-22,2025-01-01,2025-04-16,481
119551,SBI Bluechip Fund - Regular Plan - Growth,-0.1501238549864533,2023-08-24,2024-02-05,2025-01-08,503
119092,Axis Bluechip Fund - Regular - Growth,-0.1440161790933726,2023-10-12,2025-02-07,2025-12-31,811
149322,DSP Top 100 Equity Fund - Regular - Growth,-0.14111986534883125,2024-08-05,2024-12-19,2025-03-27,234
120503,ICICI Pru Bluechip Fund - Regular - Growth,-0.13897862823061635,2023-09-19,2023-11-09,2024-03-11,174
120843,Kotak Flexicap Fund - Regular - Growth,-0.1297396816518679,2022-03-07,2022-04-13,2022-09-22,199
120504,ICICI Pru Bluechip Fund - Direct - Growth,-0.12588275606922517,2022-10-04,2023-05-30,2023-07-11,280
119552,SBI Bluechip Fund - Direct Plan - Growth,-0.11803493502764295,2024-05-21,2024-09-02,2025-02-11,266
118635,Nippon India ETF Nifty 50 BeES,-0.11511457598975516,2022-04-13,2022-06-09,2023-01-09,271
101206,ABSL Frontline Equity Fund - Regular - Growth,-0.11291596329323073,2023-04-24,2023-07-05,2023-09-28,157
148567,Mirae Asset Large Cap Fund - Regular - Growth,-0.11265729075028275,2023-07-11,2023-10-20,2024-02-21,225
102885,UTI Nifty 50 Index Fund - Regular - Growth,-0.1085986215250232,2022-02-03,2022-03-29,2022-05-23,109
118636,Nippon India Gilt Securities Fund - Regular - Growth,-0.08316361763638702,2023-02-09,2024-02-09,2024-11-01,631
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.04328728923970093,2024-09-16,2025-04-01,2025-08-22,340
100025,HDFC Short Term Debt Fund - Regular - Growth,-0.04308263824636349,2023-05-23,2023-07-28,2024-01-30,252
101208,ABSL Liquid Fund - Regular - Growth,-0.0016224980244717857,2023-09-05,2023-09-12,2023-09-22,17
120844,Kotak Liquid Fund - Regular - Growth,-0.0011629327956168556,2024-04-12,2024-04-30,2024-05-03,21
120507,ICICI Pru Liquid Fund - Regular - Growth,-0.0009773140045925555,2025-10-16,2025-10-20,2025-10-24,8
